"","title","date","company","salary","maxsal","minsal","location","summary","link"
"63","Data Scientist","Just posted","Alto Neuroscience, Inc","81,078 - 129,709","129,709","81,078","San Francisco Bay Area, CA","This person will work closely with a growing inter-disciplinary team of Physicians, Research scientists and Software developers to challenge the status quo and…","https://www.indeed.com/company/Alto-Neuroscience,-Inc/jobs/Data-Scientist-ca16b63c03e40c57?fccid=3a7ad5d4b8526b01&vjs=3"
"64","Data Scientist","8","Cognowiz solutions LLC","",NA,NA,"Herndon, VA","Experience with data visualization tools, such as Tableau, Qlik, Power BI, d3.js, or equivalent.","https://www.indeed.com/company/Cognowiz-solutions-LLC/jobs/Data-Scientist-dd25f8809ed80778?fccid=6f3afb2c19af6e1b&vjs=3"
"65","Co-op Data Scientist 2021","30","The Hershey Company","70,000 - 177,616","177,616","70,000","Hershey, PA","Collaborates with IT to prepare and manipulate structured and unstructured data for data discovery and mining from multiple, disparate, resources.","https://www.indeed.com/rc/clk?jk=bb3dc0d9215abe7d&fccid=e08898c7a89673c9&vjs=3"
"66","Data Scientist","Just posted","Dataiku","",NA,NA,"New York, NY","Our ideal candidate is comfortable learning new languages, technologies, and modeling techniques while being able to explain their work to other data scientists…","https://www.indeed.com/rc/clk?jk=3660684698cec841&fccid=4640437a3109c91f&vjs=3"
"67","Data Scientist (Junior)","30","KBR","",NA,NA,"Lexington Park, MD","Engineering Support: Participates with engineering in the design, development, and utilization of scientific/engineering electronic data processing systems…","https://www.indeed.com/rc/clk?jk=f2e1b49a9347924c&fccid=cbfa56f19cc95796&vjs=3"
"68","Data Scientist, Intermediate","13","UVA Medical Center","112,853 - 204,864","204,864","112,853","Charlottesville, VA","Is able to answer defined questions about health system functions/operations/populations using appropriate statistical techniques on available data.","https://www.indeed.com/rc/clk?jk=7f539cf07d667e63&fccid=ac3ca395d43dcd7d&vjs=3"
"69","Supply Chain Data Scientist","Just posted","TCS","70,000 - 90,000","90,000","70,000","Atlanta, GA","Working closely with Customers for developing project plans and ensure delivery consistent with the project estimates provided.","https://www.indeed.com/rc/clk?jk=a15d20b6e7e719ed&fccid=c78fdfc4443d4537&vjs=3"
"70","Undergraduate Internship/Co-op Program - Data Scientist","30","Central Intelligence Agency","81,078 - 129,709","129,709","81,078","Washington, DC","You will work with advanced hardware, software and techniques to develop computational algorithms and statistical methods that find patterns and relationships…","https://www.indeed.com/rc/clk?jk=4df5e9a053f32646&fccid=e9870e3159e9c6ac&vjs=3"
"71","Data Scientist","7","ACHNET Inc","",NA,NA,"Plano, TX","Building and owning large scale machine learning models.","https://www.indeed.com/company/ACHNET-Inc/jobs/Data-Scientist-4678de7d2ce1a4e9?fccid=4c8feeee8e552116&vjs=3"
"72","Data Scientist","20","RMDS Lab, Inc","70,000 - 177,616","177,616","70,000","South Lake, CA","Provide consultation on data science and machine learning.","https://www.indeed.com/company/RMDS-Lab/jobs/Data-Scientist-c487fd99ae09ef42?fccid=bb09cf205f12348c&vjs=3"
"73","Forward Deployed Data Scientist","13","Cresta","",NA,NA,NA,"Proficiency in SQL and data visualization tools (e.g. Tableau, Looker, etc.).","https://www.indeed.com/rc/clk?jk=9dc6b800a28e75ef&fccid=89f15f8fbcb9d345&vjs=3"
"74","Data Scientist - AI/ML Engineer","Today","Softnice","",NA,NA,"Sunnyvale, CA","Excellent knowledge and good practical skills in major ML algorithms as applied to Natural Language Processing, information retrieval, data mining.","https://www.indeed.com/company/Softnice/jobs/Data-Scientist-60988ef75ed7c8a0?fccid=9b98d432e332db87&vjs=3"
"75","Data Scientist","Just posted","Caterpillar","112,853 - 204,864","204,864","112,853","Mossville, IL","The Data Scientist contributes to this mission by leveraging his or her quantitative analysis, data management, modeling and/or data visualization skills as an…","https://www.indeed.com/rc/clk?jk=1736bbe9f9cddf32&fccid=d723225da214c842&vjs=3"
"76","analyst & data scientist","Today","Clarity Campaign Labs","112,853 - 204,864","204,864","112,853","Washington, DC","Create data visualizations and maps to effectively communicate trends and analysis.","https://www.indeed.com/rc/clk?jk=68011ffc792c1cc8&fccid=274f4f0e41801701&vjs=3"
"77","Data Scientist","Just posted","Analog Devices","70,000 - 90,000","90,000","70,000","Norwood, MA","Perform data analysis to generate business insights.","https://www.indeed.com/rc/clk?jk=057da96196b18f5a&fccid=795688f508690d17&vjs=3"
"78","Data Scientist","4","RS21","81,078 - 129,709","129,709","81,078","Arlington, VA","Proficiency with modern approaches in data analytics (e.g., statistics, machine learning, econometrics).","https://www.indeed.com/rc/clk?jk=5ef518d03638c56b&fccid=294d5debc2c11988&vjs=3"
"79","Clinical Data Scientist","30","Nucleus","",NA,NA,"Glen Allen, VA","This candidate will leverage prospective analytics and use data mining, data analysis, automation, and machine learning methods, to measure performance and…","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dx0GoiNX9h-zZrnOAAXGM__uzOpWkPF_tkiRA3-eRCCiRJEM5stoV9t7SFD56jHmbl3261G37hTuBAd0D2_beqXw0Iwo-hLbbhVln3W01GlCEgSN2oqQ_AQRke2Rax8eHN8O6VwBJ92ZcbByNMI7ORxqSkFAzJXXDkBigyyKdI5UAZAzx7BP_l-2g1913gTIJGNG70xFpZnpGPaJr4YUo_7bUCAA5L6AvnvYNPmOvrS-y8Dcl6abedDXxjT8s2dybL7e3Yr_PFgH8BKLQvdmbvQ7xUGqODr3JcIdUu_D7F7dp8Nxdc-Ze0OquveRsZRKA2UZFfVLnZITrmw4SJM5-J31lWkrcA3YFYU_6hXGqbzLt3do2ccuzoV0DThcbiDt0nv3cpZKm_2qfX4FvyjRu9DAWaAWNqebcNAMWbQ2ZiytE_h4hSp5DiFzrMCWKVCkhYEoepNYC-Zg==&p=3&fvj=1&vjs=3"
"80","Senior Data Scientist","Today","Headcheckit.com","70,000 - 177,616","177,616","70,000",NA,"Being part of a team of data scientists.","https://www.indeed.com/company/Headcheckit.com/jobs/Senior-Data-Scientist-ea327af8483ea0fd?fccid=ee23b99f71507d73&vjs=3"
"81","Data Scientist","8","Cognowiz solutions LLC","",NA,NA,"Herndon, VA","Experience with data visualization tools, such as Tableau, Qlik, Power BI, d3.js, or equivalent.","https://www.indeed.com/company/Cognowiz-solutions-LLC/jobs/Data-Scientist-dd25f8809ed80778?fccid=6f3afb2c19af6e1b&vjs=3"
"82","Co-op Data Scientist 2021","30","The Hershey Company","112,853 - 204,864","204,864","112,853","Hershey, PA","Collaborates with IT to prepare and manipulate structured and unstructured data for data discovery and mining from multiple, disparate, resources.","https://www.indeed.com/rc/clk?jk=bb3dc0d9215abe7d&fccid=e08898c7a89673c9&vjs=3"
"83","Data Scientist","Just posted","Dataiku","70,000 - 90,000","90,000","70,000","New York, NY","Our ideal candidate is comfortable learning new languages, technologies, and modeling techniques while being able to explain their work to other data scientists…","https://www.indeed.com/rc/clk?jk=3660684698cec841&fccid=4640437a3109c91f&vjs=3"
"84","Data Scientist (Junior)","30","KBR","81,078 - 129,709","129,709","81,078","Lexington Park, MD","Engineering Support: Participates with engineering in the design, development, and utilization of scientific/engineering electronic data processing systems…","https://www.indeed.com/rc/clk?jk=f2e1b49a9347924c&fccid=cbfa56f19cc95796&vjs=3"
"85","Data Scientist, Intermediate","13","UVA Medical Center","",NA,NA,"Charlottesville, VA","Is able to answer defined questions about health system functions/operations/populations using appropriate statistical techniques on available data.","https://www.indeed.com/rc/clk?jk=7f539cf07d667e63&fccid=ac3ca395d43dcd7d&vjs=3"
"86","Supply Chain Data Scientist","Just posted","TCS","70,000 - 177,616","177,616","70,000","Atlanta, GA","Working closely with Customers for developing project plans and ensure delivery consistent with the project estimates provided.","https://www.indeed.com/rc/clk?jk=a15d20b6e7e719ed&fccid=c78fdfc4443d4537&vjs=3"
"87","Undergraduate Internship/Co-op Program - Data Scientist","30","Central Intelligence Agency","",NA,NA,"Washington, DC","You will work with advanced hardware, software and techniques to develop computational algorithms and statistical methods that find patterns and relationships…","https://www.indeed.com/rc/clk?jk=4df5e9a053f32646&fccid=e9870e3159e9c6ac&vjs=3"
"88","Data Scientist","7","ACHNET Inc","112,853 - 204,864","204,864","112,853","Plano, TX","Building and owning large scale machine learning models.","https://www.indeed.com/company/ACHNET-Inc/jobs/Data-Scientist-4678de7d2ce1a4e9?fccid=4c8feeee8e552116&vjs=3"
"89","Data Scientist","20","RMDS Lab, Inc","70,000 - 90,000","90,000","70,000","South Lake, CA","Provide consultation on data science and machine learning.","https://www.indeed.com/company/RMDS-Lab/jobs/Data-Scientist-c487fd99ae09ef42?fccid=bb09cf205f12348c&vjs=3"
"90","Forward Deployed Data Scientist","13","Cresta","81,078 - 129,709","129,709","81,078",NA,"Proficiency in SQL and data visualization tools (e.g. Tableau, Looker, etc.).","https://www.indeed.com/rc/clk?jk=9dc6b800a28e75ef&fccid=89f15f8fbcb9d345&vjs=3"
"91","Co-op Data Scientist 2021","30","The Hershey Company","81,078 - 129,709","129,709","81,078","Hershey, PA","Collaborates with IT to prepare and manipulate structured and unstructured data for data discovery and mining from multiple, disparate, resources.","https://www.indeed.com/rc/clk?jk=bb3dc0d9215abe7d&fccid=e08898c7a89673c9&vjs=3"
"92","Data Scientist (Junior)","30","KBR","",NA,NA,"Lexington Park, MD","Engineering Support: Participates with engineering in the design, development, and utilization of scientific/engineering electronic data processing systems…","https://www.indeed.com/rc/clk?jk=f2e1b49a9347924c&fccid=cbfa56f19cc95796&vjs=3"
"93","Data Scientist, Intermediate","13","UVA Medical Center","70,000 - 177,616","177,616","70,000","Charlottesville, VA","Is able to answer defined questions about health system functions/operations/populations using appropriate statistical techniques on available data.","https://www.indeed.com/rc/clk?jk=7f539cf07d667e63&fccid=ac3ca395d43dcd7d&vjs=3"
"94","Supply Chain Data Scientist","Just posted","TCS","93,950 - 108,000","108,000","93,950","Atlanta, GA","Working closely with Customers for developing project plans and ensure delivery consistent with the project estimates provided.","https://www.indeed.com/rc/clk?jk=a15d20b6e7e719ed&fccid=c78fdfc4443d4537&vjs=3"
"95","Undergraduate Internship/Co-op Program - Data Scientist","30","Central Intelligence Agency","",NA,NA,"Washington, DC","You will work with advanced hardware, software and techniques to develop computational algorithms and statistical methods that find patterns and relationships…","https://www.indeed.com/rc/clk?jk=4df5e9a053f32646&fccid=e9870e3159e9c6ac&vjs=3"
"96","Data Scientist","7","ACHNET Inc","",NA,NA,"Plano, TX","Building and owning large scale machine learning models.","https://www.indeed.com/company/ACHNET-Inc/jobs/Data-Scientist-4678de7d2ce1a4e9?fccid=4c8feeee8e552116&vjs=3"
"97","Data Scientist","Just posted","University of Utah","130,000 - 140,000","140,000","130,000","Salt Lake City, UT","Expertise in industry leading statistical and data science practices; these enable operational improvement, strategy deployment, value improvement, population…","https://www.indeed.com/rc/clk?jk=160884e721444ab3&fccid=6328b27691d3fdc3&vjs=3"
"98","Data Scientist","20","RMDS Lab, Inc","81,078 - 129,709","129,709","81,078","South Lake, CA","Provide consultation on data science and machine learning.","https://www.indeed.com/company/RMDS-Lab/jobs/Data-Scientist-c487fd99ae09ef42?fccid=bb09cf205f12348c&vjs=3"
"99","Forward Deployed Data Scientist","13","Cresta","",NA,NA,NA,"Proficiency in SQL and data visualization tools (e.g. Tableau, Looker, etc.).","https://www.indeed.com/rc/clk?jk=9dc6b800a28e75ef&fccid=89f15f8fbcb9d345&vjs=3"
"100","Data Scientist - AI/ML Engineer","Today","Softnice","70,000 - 177,616","177,616","70,000","Sunnyvale, CA","Excellent knowledge and good practical skills in major ML algorithms as applied to Natural Language Processing, information retrieval, data mining.","https://www.indeed.com/company/Softnice/jobs/Data-Scientist-60988ef75ed7c8a0?fccid=9b98d432e332db87&vjs=3"
"101","Data Scientist","Just posted","Caterpillar","93,950 - 108,000","108,000","93,950","Mossville, IL","The Data Scientist contributes to this mission by leveraging his or her quantitative analysis, data management, modeling and/or data visualization skills as an…","https://www.indeed.com/rc/clk?jk=1736bbe9f9cddf32&fccid=d723225da214c842&vjs=3"
"102","Data Scientist","28","BICP","",NA,NA,"Portland, OR","Possess end-to-end data expertise including data sourcing, consolidation, integration, manipulation and visualization.","https://www.indeed.com/company/BICP/jobs/Data-Scientist-a04c89acee43bb71?fccid=74ad6aafaf75e1a3&vjs=3"
"103","Data Scientist","Just posted","Alto Neuroscience, Inc","",NA,NA,"San Francisco Bay Area, CA","This person will work closely with a growing inter-disciplinary team of Physicians, Research scientists and Software developers to challenge the status quo and…","https://www.indeed.com/company/Alto-Neuroscience,-Inc/jobs/Data-Scientist-ca16b63c03e40c57?fccid=3a7ad5d4b8526b01&vjs=3"
"104","Data Scientist","Today","Advance Local","130,000 - 140,000","140,000","130,000","New York, NY","Experience using statistics, propensity model building, and algorithms to manipulate data and draw insights from large data sets.","https://www.indeed.com/rc/clk?jk=bd190f5ad577a404&fccid=31a0500c8ccc54ba&vjs=3"
"105","Senior Data Scientist","Just posted","Mission Lane","81,078 - 129,709","129,709","81,078",NA,"We offer the option of 100% paid health, dental and vision care, a flexible spending account, unlimited PTO, paid holidays, eligibility for our cash incentive…","https://www.indeed.com/rc/clk?jk=0640cdf4e619350e&fccid=0e0f873e6c84a5ec&vjs=3"
"106","Data Scientist","14","National Security Agency","102,663 - 157,709","157,709","102,663","Fort Meade, MD","Relevant experience must be in designing/implementing machine learning, data mining, advanced analytical algorithms, programming, data science, advanced…","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AC5S5KfpcrE62cRuYLg6qW_HWiPjKHP06qk-AGfbwYtGlr3wcSMURH9oqKq1q2FCee1dkQkxJJ_jTPTeaAj6bQY7W8nqpUJM6WNhg1Fr7srQjxek9SAawvVC9GMiVTmhP2Xm5DNNsoU4gf5Acij-lsIvXtjGkPTSRp8iSu-d1RbWSRWmrdbHmNS9VMpqWCJutUbPJ2YrC-DdBY8Asr5C_84Tv-wpHOQwlIJJdiDvaVZVR83LE6T_wZYNsOSBIk8E48I5ZkVuR0CE2WoO68j1XdZKhYEMQcp9CVcA2SctF7UKqSFuBvlBq9J-N4P2pV_C1xTy8IgT7q5BUkqFuinxY-nYdBpLp5rjfW0G1R7m3Vs8ix1gAd0UwKSeHm21RqO6pG62NjwQB_tHezKqWhFYfwHgnoIm8GTh_C5J_YY46KD0WnIS2a8fOu&p=0&fvj=0&vjs=3"
"107","Data Scientist","3","Leidos","130,000",NA,"130,000","Arlington, VA","Hands-on experience applying data analytics.","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CZUO70VSdYKA8PR3jfrSh5ljhqJhfDt0PzQCMubt8cRnyhDD9XgeBp6fX700neD-OtM0LaO2_WdeoQrsGqvekoC58pjfr8o-sLFWNVe7esAa36xRdWuPJvSEMoQxZdC1NRqczcFb8ydibgdyw_nHKsDDneSki99yIIaAjKWDccq5n4Sasjz33cwQx_oAVFnvF7KU8CKZ4Rind9jPxZ2PeWAp5hA7VMED_h19kdnKLiYuHI5ZqHpiC3TqKsiB0P5Tfd3wjhzp5U1GVo4sbIUQ8r5MMBWjtY-Dr93IFOpIJyEyZVOc9ni2eMT4H2pr88TA43SbA0pUJXjCL5V2MArSd-rpgBnmj763_MvlwiutaAtCn4-9Ju1TspB-NbKemEqFXZ67WnVCLZk1AuHIags37xNdvDyDxCwv9eV_QsXFDqCfptHmduqd-q9kriqC-VCKnLkGHJM_zMLmB6xl9pvigucOG2Fc_MKXk5NwGeCryiLI1ZNkqrhVJO&p=1&fvj=0&vjs=3"
"108","Sr. Data Scientist","7","Florida Blue","112,853 - 204,864","204,864","112,853","Jacksonville, FL","Participate on projects and manage project phases or smaller projects in their entirety (includes project management).","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B0bzw0Mod1HNV92jnRtQZrwaOzYX_tHXle7mz9O4M1OXkunB0NrqmK-Rxan0UbRh9_NxtTcxEi3-8Zy_qim63gkf5SP6IBwB9swnpLe9dY_kutKuUe3GvXTmT6sUh9KDsCAqjHTEfF0vZgWBZTvhQ07Y5flh9DJkBbEfLCxMevdI1LQB2YvI6YrfVMhQvDzBiB59hqeYL962SG55LxOz72FCImRfzMbalUVdFsq997yTkm4o3n5ufx8scUt9C8Qos3cBbezdUf32_1FrLRmm8jEBCBMORwsJXUty0Nryowdcgd6BIBDprGFFnh1aLEZ3UjBUAkpzMIlyJWTLSeo_h0oCjTGx0gRs-_utvyDBJsCIVKd6s6OVs6LMFj3ded9SeskcIeIT7uWZ-HAOpHAsB1CuX49HrpBBG6XXMHqvsMtmQRoecKchcku4Jn7TraoroY5YTW0tA31KgvdORVK0s6AWIc8MtocpJ6-rjY6IGcnZxnNaaWg_Q1&p=2&fvj=0&vjs=3"
"109","Data Scientist","Today","Change Healthcare","70,000 - 90,000","90,000","70,000","Mammoth, AZ","Understand drivers for health & wellness for both individuals and the health ecosystem at large.","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CCijPsBktbsnV7_K2PZ7QpeLUNCldf8yxD4jfr8y8DHSn1Wzm8pUm6xzwI7860ErhMjCDZt0uPEm7KEMG1vMeH9qw0HFE2o8F5h3TThEBCSsaw0JGCLgah9XPiCgUKyAJwxRkB8d4K-ZDs4AZIlJJH9NA4KhScxlKJlU86VIvSej8B_3GiUCev0-rtVJutlKJWBO72xaX_cG93g2LcdagfUdJBpzo__yuFB1dT5ez2cIrM3y-fuBpIckeQoKW-lNa46VLDYQHB9fMH31sbHzA1vvRDH9MCfHDHjzfG1zzkiT2dD9nolej2yX5j1imlJIM2biutjQKlQpdfSWNYLqoAFcdceaIEP810_ctcDU7KA0HVVCoQmunZeC2xH2NspOU=&p=3&fvj=0&vjs=3"
"110","Data Scientist","27","Northrop Grumman","81,078 - 129,709","129,709","81,078","Hill AFB, UT","Develop and implement artificial intelligence and machine learning models to solve complex data problems.","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DPf8Tf_oakpB62WadId2dzQiWExtALTi0lpCM--zHBL4xiBVbb_EgRS6mZmsgnHhYXj50SC9-X30p_GeD5_JVQKRLdiFHwEamVtcKlXPblXcPJlC0nlTGATomcIGUJcGXQ1aGc2vR4Kyi-7KM905N9AIKnpC6-fWnkRt-J9sogijA7tkrNcp5u5B_4AA1N7JNzChvVneBpAC-tZ682Fh3p2b6RGe0ITgvmthimisQCXkG6bnneFv6LxvDj9AedvGjJN3P4nyQ61qR7kQngecZLKNMpP42JKnjSLX9gzHHrJjesE-0pri8EvhwmsXxbqA4RXwg8S3PZvX_rDQ1w4mgMimLVSSRmAXMyhGaPXML2J1HZkG5mgavNtiunDac0724Cw9L7_fYlAJ2sW9-CdynCsF7gCbmhYdsOqkKnLHa4Mee3IcmmSmx4_LiE3AoJ423mqC17YBr_-aAVK4rkkWDa9szFw8_FICfclv3Tf7Ycs-V2l5oUYuwU-Ngojq1BZ6dfN2S971JdSA3T9yxB9fY9DsXzsVks_Vo647IAlXP-treLKYOi1DRXimz-xfW9qfpVoeJ7a-Yx4osIBJzdgTd9Hx2icS1WG9bSbizxaArk--DwzhfsbND4&p=4&fvj=0&vjs=3"
"111","analyst & data scientist","Today","Clarity Campaign Labs","",NA,NA,"Washington, DC","Create data visualizations and maps to effectively communicate trends and analysis.","https://www.indeed.com/rc/clk?jk=68011ffc792c1cc8&fccid=274f4f0e41801701&vjs=3"
"112","Data Scientist","4","RS21","70,000 - 177,616","177,616","70,000","Arlington, VA","Proficiency with modern approaches in data analytics (e.g., statistics, machine learning, econometrics).","https://www.indeed.com/rc/clk?jk=5ef518d03638c56b&fccid=294d5debc2c11988&vjs=3"
"113","Senior Data Scientist","Today","Headcheckit.com","102,663 - 157,709","157,709","102,663",NA,"Being part of a team of data scientists.","https://www.indeed.com/company/Headcheckit.com/jobs/Senior-Data-Scientist-ea327af8483ea0fd?fccid=ee23b99f71507d73&vjs=3"
"114","Data Scientist","8","Cognowiz solutions LLC","130,000",NA,"130,000","Herndon, VA","Experience with data visualization tools, such as Tableau, Qlik, Power BI, d3.js, or equivalent.","https://www.indeed.com/company/Cognowiz-solutions-LLC/jobs/Data-Scientist-dd25f8809ed80778?fccid=6f3afb2c19af6e1b&vjs=3"
"115","Co-op Data Scientist 2021","30","The Hershey Company","112,853 - 204,864","204,864","112,853","Hershey, PA","Collaborates with IT to prepare and manipulate structured and unstructured data for data discovery and mining from multiple, disparate, resources.","https://www.indeed.com/rc/clk?jk=bb3dc0d9215abe7d&fccid=e08898c7a89673c9&vjs=3"
"116","Data Scientist (Junior)","30","KBR","70,000 - 90,000","90,000","70,000","Lexington Park, MD","Engineering Support: Participates with engineering in the design, development, and utilization of scientific/engineering electronic data processing systems…","https://www.indeed.com/rc/clk?jk=f2e1b49a9347924c&fccid=cbfa56f19cc95796&vjs=3"
"117","Data Scientist, Intermediate","13","UVA Medical Center","81,078 - 129,709","129,709","81,078","Charlottesville, VA","Is able to answer defined questions about health system functions/operations/populations using appropriate statistical techniques on available data.","https://www.indeed.com/rc/clk?jk=7f539cf07d667e63&fccid=ac3ca395d43dcd7d&vjs=3"
"118","Supply Chain Data Scientist","Just posted","TCS","",NA,NA,"Atlanta, GA","Working closely with Customers for developing project plans and ensure delivery consistent with the project estimates provided.","https://www.indeed.com/rc/clk?jk=a15d20b6e7e719ed&fccid=c78fdfc4443d4537&vjs=3"
"119","Undergraduate Internship/Co-op Program - Data Scientist","30","Central Intelligence Agency","70,000 - 177,616","177,616","70,000","Washington, DC","You will work with advanced hardware, software and techniques to develop computational algorithms and statistical methods that find patterns and relationships…","https://www.indeed.com/rc/clk?jk=4df5e9a053f32646&fccid=e9870e3159e9c6ac&vjs=3"
"120","Data Scientist","7","ACHNET Inc","102,663 - 157,709","157,709","102,663","Plano, TX","Building and owning large scale machine learning models.","https://www.indeed.com/company/ACHNET-Inc/jobs/Data-Scientist-4678de7d2ce1a4e9?fccid=4c8feeee8e552116&vjs=3"
